Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,0.156688,0.157085,0.156362,0.156688,0.156688,0
2021-11-17,0.156468,0.157089,0.156436,0.156468,0.156468,0
2021-11-18,0.156816,0.156878,0.156570,0.156816,0.156816,0
2021-11-19,0.156617,0.156880,0.156502,0.156617,0.156617,0
2021-11-22,0.156588,0.156991,0.156529,0.156588,0.156588,0
2021-11-23,0.156634,0.156767,0.156436,0.156634,0.156634,0
2021-11-24,0.156475,0.156816,0.156446,0.156475,0.156475,0
2021-11-25,0.156450,0.156821,0.156446,0.156450,0.156450,0
2021-11-26,0.156593,0.156767,0.156428,0.156593,0.156593,0
2021-11-29,0.156446,0.156843,0.156446,0.156446,0.156446,0
2021-11-30,0.156568,0.157213,0.156548,0.156568,0.156568,0
2021-12-01,0.157154,0.157319,0.156961,0.157154,0.157154,0
2021-12-02,0.157052,0.157250,0.156814,0.157052,0.157052,0
2021-12-03,0.156848,0.157213,0.156826,0.156848,0.156848,0
2021-12-06,0.156853,0.157188,0.156794,0.156855,0.156855,0
2021-12-07,0.156868,0.157339,0.156855,0.156868,0.156868,0
2021-12-08,0.157077,0.157773,0.157075,0.157077,0.157077,0
2021-12-09,0.157637,0.157886,0.156804,0.157637,0.157637,0
2021-12-10,0.156826,0.157299,0.156678,0.156826,0.156826,0
2021-12-13,0.157233,0.157389,0.157085,0.157233,0.157233,0
2021-12-14,0.157097,0.157408,0.157033,0.157097,0.157097,0
2021-12-15,0.157072,0.157376,0.157057,0.157072,0.157072,0
2021-12-16,0.157072,0.157324,0.157028,0.157072,0.157072,0
2021-12-17,0.157055,0.157267,0.156701,0.157055,0.157055,0
2021-12-20,0.156878,0.157075,0.156762,0.156887,0.156887,0
2021-12-21,0.156873,0.157193,0.156860,0.156873,0.156873,0
2021-12-22,0.156971,0.157235,0.156922,0.156971,0.156971,0
2021-12-23,0.157008,0.157230,0.156971,0.157008,0.157008,0
2021-12-24,0.157015,0.157240,0.156978,0.157015,0.157015,0
2021-12-27,0.157070,0.157201,0.156932,0.157070,0.157070,0
2021-12-28,0.156991,0.157213,0.156949,0.156991,0.156991,0
2021-12-29,0.157055,0.157272,0.156951,0.157055,0.157055,0
2021-12-30,0.157052,0.157265,0.156801,0.157052,0.157052,0
2021-12-31,0.156934,0.157736,0.156801,0.156934,0.156934,0
2022-01-03,0.157359,0.157361,0.157359,0.157359,0.157359,0
2022-01-04,0.157354,0.157403,0.157354,0.157354,0.157354,0
2022-01-05,0.157381,0.157428,0.157149,0.157374,0.157374,0
2022-01-06,0.157381,0.157381,0.156676,0.157381,0.157381,0
2022-01-07,0.156693,0.157050,0.156688,0.156693,0.156693,0
2022-01-10,0.156818,0.157173,0.156818,0.156833,0.156833,0
2022-01-11,0.156890,0.157213,0.156858,0.156890,0.156890,0
2022-01-12,0.156914,0.157351,0.156912,0.156914,0.156914,0
2022-01-13,0.157292,0.157545,0.157164,0.157292,0.157292,0
2022-01-14,0.157280,0.157881,0.157220,0.157280,0.157280,0
2022-01-17,0.157436,0.157796,0.157319,0.157443,0.157443,0
2022-01-18,0.157562,0.157843,0.157403,0.157562,0.157562,0
2022-01-19,0.157426,0.157866,0.157371,0.157426,0.157426,0
2022-01-20,0.157642,0.157878,0.157597,0.157642,0.157642,0
2022-01-21,0.157741,0.158020,0.157647,0.157741,0.157741,0
2022-01-24,0.157778,0.158263,0.157778,0.157786,0.157786,0
2022-01-25,0.157983,0.158306,0.157968,0.157983,0.157983,0
