,distributions,SSE,AIC,BIC,params
69,ksone,4045.8390805162962,-302.19453134732197,1315.4681720980414,"(1.038554991459868, -0.1306288853966614, 0.21417268358041586)"
70,genpareto,4047.453609489217,-300.20496394265894,1315.7865577506627,"(-1.0229758643143656, -0.13274565063416005, 0.2212588835381673)"
71,wrapcauchy,4047.728417566671,-296.21914154331307,1315.8407373466644,"(8.86234025740979e-08, -0.13062888138447526, 0.035120411986130466)"
72,foldcauchy,4049.2674083856605,-227.86989842173273,1316.1440880497503,"(1.159976034993457, -0.13062896935410517, 0.08457432000419637)"
73,kappa4,4233.378122453736,-258.22150297368125,1358.308713561021,"(0.6175395325915753, 1.169615735335399, -0.03842271895289364, 0.14265395498775854)"
74,wald,4329.820813220117,-152.99895330137826,1362.9201435646098,"(-0.13479987756991235, 0.2067845798877398)"
75,levy_l,4406.157355907467,-138.754271656044,1376.8666325324002,"(0.08550360964736994, 0.07225281984106789)"
76,truncexpon,4527.713077712223,-298.17979025658013,1405.2655218406403,"(0.6927682435482359, -0.1306537163420438, 0.30919072036596074)"
77,gilbrat,4587.377654485768,-205.57704214489834,1409.0304869328133,"(-0.13134019011354586, 0.12879116175319466)"
78,bradford,4592.756778244164,-298.0288154538028,1416.647776007613,"(1.0369266487330475, -0.13062888368320708, 0.21417272620667266)"
79,halfnorm,4718.054133176268,-267.7722120766303,1431.4446398881064,"(-0.1306288886980547, 0.13355107559123414)"
80,halflogistic,4787.269925670987,-257.3241877208608,1443.0665853062965,"(-0.13062888878722792, 0.08575741597070641)"
81,gompertz,4823.244327705835,-266.18778773215166,1455.7229229927743,"(1.5457269491632506, -0.13062888185721344, 0.23649956783420142)"
82,halfcauchy,5003.093229435344,-202.65887119246315,1478.2552499545716,"(-0.13062888119293803, 0.1292273958405469)"
83,levy,5052.420674099525,-99.90713516190748,1486.084509994584,"(-0.13372270507442005, 0.12224087735529937)"
84,expon,5272.205415394791,-238.9354556714411,1520.0643794639118,"(-0.1306288805140844, 0.13130570126433988)"
85,pareto,5275.413743061977,-236.99959449273655,1527.231952225153,"(27690012.852892354, -3629515.9644327285, 3629515.833803848)"
86,lomax,5502.929586695984,-196.89457287552548,1560.9262984949776,"(1.5701602079710657, -0.13062888072462434, 0.1978672172078425)"
87,genextreme,5818.110258333546,-201.677949316957,1605.3708355422675,"(1.3797942323177983, -0.017217870290237216, 0.1390303658855297)"
88,arcsine,6111.968556921789,-274.5108842606801,1638.008897137597,"(-0.13062888051408442, 0.21418750519723317)"
